customer_id,first_name,last_name,address,city,state,zipcode
1,Emmett,Brown,1640 Riverside Drive,Hill Valley,CA,95327
2,Buffy,Summers,1630 Revello Drive,Sunnydale,CA,94043
3,Jerry,Seinfeld,129 W 81st St,New York,NY,10024
4,Fox,Mulder,2630 Hegal Place,Alexandria,VA,23242
5,Carrie,Bradshaw,245 E 73rd St,New York,NY,10021
6,Monica,Geller,425 Grove St,New York,NY,11237
7,Phoebe,Buffay,5 Morton St,New York,NY,10014
8,Drew,Carey,720 Sedgewick St,Cleveland,OH,44101
9,Danny,Tanner,1882 Gerard St,San Francisco,CA,94016
10,Stephen,Strange,177A Bleecker St,New York,NY,10012
